paper_id,mfn_authors,unknown_authors,publication_date,year,title,journal,volume,issue,page_info,publisher,identifier_type,upload_id,access,publication_type,publication_subtype,keyword
2435.0,,,2021-11-25,2021.0,Differing limb functions and their potential influence upon the diversification of the mustelid hindlimb skeleton,Biological Journal of the Linnean Society,132,3,685-703,Oxford University Press (OUP),doi,10.1093/biolinnean/blaa207,closed_access,artikel,peerrevartikel,"Ecology, Evolution, Behavior and Systematics; This publication cites MfN collection specimens; Department: Evolutionary Morphology"
2544.0,"Berger, F.; Glöckler, F.; Hoffmann, A.; Hoffmann, J.; Petersen, M.; Quaisser, C.; Schuster, F.; Tata, N.","Hermann, E.",2021-09-01,2021.0,Digitalisierung für alle / Digitization for everyone,,,,,Museum für Naturkunde Berlin (MfN) - Leibniz Institute for Evolution and Biodiversity Science,doi,https://doi.org/10.7479/8h2v-4040,open_access,datenpublikation,,Department: Science Data Management and Informatics Infrastructure; Department: Collection Management; Department: Collection Digitization; Department: Information Supply and Information Management; Department: Collection Innovation and Transfer
2466.0,"Rintelen, T.; Rintelen, K.","Ndongo, P.; Schubart, C.; Clark, P.; Missoup, A.; Albrecht, C.; Rabone, M.; Ewoukem, E.; Tamesse, J.; Eyango, M.; Cumberlidge, N.",2021-05-26,2021.0,"Discovery of two new populations of the rare endemic freshwater crab Louisea yabassi Mvogo Ndongo, von Rintelen & Cumberlidge, 2019 (Brachyura: Potamonautidae) from the Ebo Forest near Yabassi in Cameroon, Central Africa, with recommendations for conservation action",Journal of Threatened Taxa,13,6,18551-18558,Wildlife Information Liaison Development Society,doi,10.11609/jott.6724.13.6.18551-18558,open_access,artikel,peerrevartikel,"Management, Monitoring, Policy and Law; Nature and Landscape Conservation; Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2823.0,,"Cumberlidge, N.; Ndongo, P.; Clark, P.",2021-03-19,2021.0,"Disentangling the Sudanonautes granulatus (Balss, 1929) species complex (Potamoidea: Potamonautidae), with the description of two new freshwater crabs from Nigeria and Cote d'Ivoire, West Africa",Zootaxa,4948,2,201-220,Magnolia Press,doi,10.11646/zootaxa.4948.2.3,closed_access,artikel,peerrevartikel,"Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2566.0,"Freyhof, J.","Wagner, M.; Zogaris, S.; Berrebi, P.; Koblmüller, S.; Magnan, P.; Laporte, M.",2021-07-16,2021.0,"Diversity and biogeography of Mediterranean freshwater blennies (Blenniidae,            Salaria            )",Diversity and Distributions,,,1832-1847,Wiley,doi,10.1111/ddi.13372,open_access,artikel,peerrevartikel,"Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2467.0,"Hempel, E.; Mayer, F.; Müller, J.; Bibi, F.","Westbury, M.; Grau, J.; Trinks, A.; Paijmans, J.; Kliver, S.; Barlow, A.; Chen, L.; Koepfli, K.; Hofreiter, M.",2021-08-12,2021.0,"Diversity and Paleodemography of the Addax (Addax nasomaculatus), a Saharan Antelope on the Verge of Extinction",Genes,12,8,1236,MDPI AG,doi,10.3390/genes12081236,open_access,artikel,peerrevartikel,Genetics; Collection: Mammalia; This publication cites MfN collection specimens; Department: Microevolution; Department: Evolutionary Morphology
2490.0,"Rödel, M.; Demare, G.; Hirschfeld, M.; Sandberger-Loua, L.; Penner, J.","Adum, G.; Aruna, E.; Assemian, N.; Barej, M.; Bell, R.; Burger, M.; Doherty-Bone, T.; Doumbia, J.; Ernst, R.; Gonwouo, L.; Hillers, A.; Jongsma, G.; Kouamé, N.; Kpan, T.; Mohneke, M.; Nago, S.; Ofori-Boateng, C.; Onadeko, A.; Hoinsoude Segniagbeto, G.; Tchassem Fokoua, A.; Tobi, E.; Tohé, B.; Zimkus, B.",2021-05-01,2021.0,"Diversity, threats and conservation of western and central African amphibians (Senegal, The Gambia, Guinea Bissau, Mali, Guinea, Sierra Leone, Liberia, Ivory Coast, Burkina Faso, Ghana, Togo, Benin, Nigeria, Niger, Cameroon, Gabon, São Tome & Principe, Equatorial Guinea, Central African Republic, Chad, Republic of the Congo, Democratic Republic of the Congo, northern Angola)","Status and threats of Afrotropical Amphibians – Sub-Saharan Africa, Madagascar, Western Indian Ocean Islands. Amphibian Biology, Volume 11, Part 7 Status of Conservation and Decline of Amphibians: Eastern Hemisphere",,,,,internal-id,c9d7c14b-0013-4c02-ae2e-8de1c7649535,closed_access,artikel,sammelbandbeitrag,"Department: Diversity Dynamics; Collection: Reptilien, Amphibien"
2624.0,"Rintelen, T.; Meier, R.","Wührl, L.; Pylatiuk, C.; Giersch, M.; Lapp, F.; Balke, M.; Schmidt, S.; Cerretti, P.",2021-12-04,2021.0,DiversityScanner: Robotic handling of small invertebrates with machine learning methods,Molecular Ecology Resources,,,,Wiley,doi,10.1111/1755-0998.13567,open_access,artikel,peerrevartikel,"Genetics; Ecology, Evolution, Behavior and Systematics; Biotechnology; Department: Center for Integrated Biodiversity Discovery"
2814.0,,"Delrieu‐Trottin, E.; Hartmann‐Salvo, H.; Saenz‐Agudelo, P.; Landaeta, M.; Pérez‐Matus, A.",2021-11-25,2021.0,DNA            reconciles morphology and colouration in the drunk blenny genus            Scartichthys            (Teleostei: Blenniidae) and provides insights into their evolutionary history,Journal of Fish Biology,,,,Wiley,doi,10.1111/jfb.14960,closed_access,artikel,peerrevartikel,"Aquatic Science; Ecology, Evolution, Behavior and Systematics; Department: Center for Integrated Biodiversity Discovery"
2406.0,"Günther, L.; Knörnschild, M.; Mayer, F.; Nagy, M.","Wilkinson, G.; Adams, D.; Haghani, A.; Lu, A.; Zoller, J.; Breeze, C.; Arnold, B.; Ball, H.; Carter, G.; Cooper, L.; Dechmann, D.; Devanna, P.; Fasel, N.; Galazyuk, A.; Hurme, E.; Jones, G.; Lattenkamp, E.; Li, C.; Reinhardt, J.; Medellin, R.; Pope, B.; Power, M.; Ransome, R.; Teeling, E.; Vernes, S.; Zamora-Mejías, D.; Zhang, J.; Faure, P.; Greville, L.; Horvath, S.",2021-03-12,2021.0,DNA methylation predicts age and provides insight into exceptional longevity of bats,Nature Communications,12,1,Article Number: 1615,Springer Science and Business Media LLC,doi,10.1038/s41467-021-21900-2,open_access,artikel,peerrevartikel,"General Biochemistry, Genetics and Molecular Biology; General Physics and Astronomy; General Chemistry; Department: Microevolution; Collection: DNA-/Gewebesammlung"
